! | OTHER 3 OTHER: 5
% | PERSON 9 OTHER 48 OTHER: 88
&ur; | OTHER 1
chamber | ORGANIZATION:Government 2 ORGANIZATION 4 FACILITY 4 OTHER 1 OTHER: 1
chambers | ORGANIZATION 3 FACILITY 3
champ | PERSON 2
champagne | OTHER 6 OTHER: 1
champion | ORGANIZATION 6 PERSON 7 PERSON: 3 GPE:Nation 1 OTHER 3 OTHER: 2
championed | OTHER 1
champions | ORGANIZATION:Commercial 1 ORGANIZATION 1 PERSON 1
championship | OTHER 7 OTHER: 2
championships | OTHER 3 OTHER: 2
champs | OTHER 1
chance | ORGANIZATION 2 OTHER 75 OTHER: 22
chancellor | PERSON 1
chances | OTHER 19 OTHER: 4
chandelier | OTHER 1
change | OTHER 49 OTHER: 18
changed. | OTHER: 1
changes | OTHER 32 OTHER: 9
channel | ORGANIZATION:Commercial 5 ORGANIZATION 1 OTHER 2 OTHER: 5
channels | ORGANIZATION 2 FACILITY:Conduit 1 OTHER 3 OTHER: 3
chant | OTHER: 1
chants | OTHER 1 OTHER: 1
chaos | OTHER 6
chap | PERSON 1
chapel | FACILITY 3
chaplains | PERSON 3
chapter | ORGANIZATION:Non-Profit 1 OTHER 3 OTHER: 1
chapters | ORGANIZATION 1 OTHER 1
character | PERSON 7 PERSON: 5 OTHER 9 OTHER: 1
characteristic | OTHER 1
characteristics | OTHER 3 OTHER: 1
characterization | OTHER 1
characters | PERSON 8 OTHER 3
chardonnay | OTHER 2
charge | WEA:Exploding 1 OTHER 34 OTHER: 7
charges | OTHER 118 OTHER: 8
charisma | OTHER 2 OTHER: 1
charities | OTHER 1
charity | ORGANIZATION:Non-Profit 1 OTHER 1
chart | OTHER: 3
charter | OTHER 12
charts | OTHER 3 OTHER: 2
chase | OTHER: 2
chasers | PERSON 1
chassis | OTHER 1
chastity | OTHER 1
chat | OTHER 1 OTHER: 1
chats | OTHER 2 OTHER: 1
chattiness | OTHER 1
chauffeur | PERSON 2 OTHER 1
cheapest | OTHER 2
chechens | PERSON 2
check | OTHER 8 OTHER: 3
checkpoint | LOCATION:Region-Local 1 OTHER 6
checkpoints | OTHER 3 OTHER: 2
checks | OTHER 18 OTHER: 4
checkup | OTHER 1 OTHER: 1
checkups | OTHER 2
cheek | OTHER 1
cheer | OTHER 2
cheering | OTHER: 1
cheerleaders | PERSON 1
cheers | OTHER 4 OTHER: 1
cheese | OTHER 1 OTHER: 1
cheeses | OTHER 1 OTHER: 1
chef | PERSON 2
chefs | PERSON 3
chemical | WEA:Chemical 1 OTHER 12 OTHER: 1
chemicals | OTHER 3
chemistry | OTHER 1
chemo | OTHER 1
chemotherapy | OTHER 3
chess | OTHER: 3
chest | OTHER 2
chestnuts | OTHER 1 OTHER: 1
chic | OTHER 1
chicken | OTHER 5 OTHER: 1
chickens | OTHER 2
chief | PERSON 43 PERSON: 4 OTHER 24
chiefs | PERSON 8 OTHER 1
chiffon | OTHER 1
child | PERSON 14 PERSON: 7 OTHER: 1
childcare | OTHER 1
childhood | OTHER 5 OTHER: 3
children | PERSON 96 PERSON: 26 OTHER 2 OTHER: 3
chilies | OTHER 6
chill | OTHER 7 OTHER: 1
chills | OTHER 1
chip | OTHER 3 OTHER: 4
chips | OTHER 15 OTHER: 5
chirps | OTHER 1
chit | PERSON: 1
chitchat | OTHER 1
chocolate | OTHER: 1
choice | PERSON 3 PERSON: 2 OTHER 30 OTHER: 13
choices | OTHER 10 OTHER: 6
choir | PERSON 2 ORGANIZATION 1
cholesterol | OTHER 1 OTHER: 1
chopper | OTHER 1
choppers | VEH:Air 1
chops | OTHER 1
choreographer | PERSON 1
choreography | OTHER 1
chores | OTHER 1 OTHER: 1
chorus | OTHER 1
choruses | PERSON 2
christening | OTHER: 1
christians | PERSON 7
christmas | OTHER 28 OTHER: 15
chromosome | OTHER: 1
chronicle | OTHER 1
chronometers | OTHER 1
chuck | PERSON: 1
chuckles | OTHER 1
chukotka | LOCATION 1
chunks | LOCATION 2 OTHER 2 OTHER: 3
church | ORGANIZATION 19 ORGANIZATION:Other 6 FACILITY:Building 1 FACILITY 7 OTHER 6
churches | ORGANIZATION 7 FACILITY:Building 2 FACILITY 5
churchgoing | OTHER 1
cigarette | OTHER 1
cigarettes | OTHER 7
cinch | PERSON 1 OTHER 1
cinema | OTHER 1 OTHER: 1
cir. 1989 | OTHER 1
circle | PERSON 2 GPE 1 OTHER 5 OTHER: 1
circles | PERSON 2 PERSON: 3 OTHER 1 OTHER: 3
circuit | OTHER 4 OTHER: 2
circuitry | OTHER 1
circuits | OTHER 3
circulation | OTHER 2 OTHER: 2
circumstance | OTHER 3 OTHER: 1
circumstances | OTHER 15 OTHER: 7
citadel | GPE 1
citations | OTHER 1
cities | GPE 42 GPE:Other 2 GPE:Population-Center 18 OTHER: 3
citizen | PERSON 14 PERSON: 3 OTHER 1
citizens | PERSON 25 PERSON: 7 GPE:Nation 5 GPE 6 OTHER 2
citizenship | OTHER 8 OTHER: 1
city | GPE 148 GPE:Population-Center 32 LOCATION 4 OTHER 3 OTHER: 4
cityscape | OTHER 1
civilian | PERSON: 1
civilians | PERSON 16 PERSON: 6 OTHER: 1
civility | OTHER 2
civilization | PERSON 2
clad | OTHER 1
claim | OTHER 21 OTHER: 9
claimants | PERSON 1
claims | OTHER 33 OTHER: 13
clamor | OTHER 1 OTHER: 1
clan | PERSON: 1 ORGANIZATION 1
clans | ORGANIZATION 1
clash | OTHER 3
clashes | OTHER 18 OTHER: 20
class | ORGANIZATION:Commercial 1 PERSON 12 PERSON: 1 OTHER 13 OTHER: 3
classes | PERSON 1 OTHER 7 OTHER: 2
classic | OTHER 3 OTHER: 1
classics | OTHER: 2
classmate | PERSON 1 PERSON: 1
classmates | PERSON 2
classroom | FACILITY:Subarea-Building 1
classrooms | FACILITY 2
clause | OTHER 2
clauses | OTHER 1
claw | OTHER 1 OTHER: 2
claws | OTHER: 1
clay | OTHER 1
clean | OTHER 1
cleanup | OTHER 1
clear | OTHER 1
clear. .. | OTHER 1
cleared | OTHER 1
cleats | OTHER 1
clemency | OTHER 5 OTHER: 1
clergy | PERSON 2
clerk | PERSON 7 PERSON: 6
clerks | PERSON 7 PERSON: 1
cliche | OTHER 1
click | OTHER 2 OTHER: 1
click. . . | OTHER 1
client | PERSON 10 OTHER 1
clientele | PERSON 2 OTHER 1
clients | ORGANIZATION:Commercial 2 ORGANIZATION 6 PERSON 12 PERSON: 5 OTHER: 1
climate | OTHER 6 OTHER: 2
climates | OTHER 2
climax | OTHER 2
climb | OTHER 2
climber | PERSON 1
climbers | PERSON 1
clinic | ORGANIZATION 1 FACILITY 12 FACILITY:Subarea-Building 3 OTHER 4
clinics | ORGANIZATION 2 FACILITY 2
clinton | PERSON 1
clintonites | PERSON 1
clip | OTHER 1
clippings | OTHER 2
clips | OTHER 1
clo | OTHER 1
cloak | OTHER 2
clock | OTHER 9 OTHER: 2
clocks | OTHER 3
clone | PERSON: 1
close | OTHER 22 OTHER: 7
close 160 | OTHER 1
closeness | OTHER: 1
closer | PERSON 1 OTHER: 1
closest | OTHER 1
closet | FACILITY:Subarea-Building 1 OTHER 3
closings | OTHER: 1
closure | OTHER 5 OTHER: 1
clot | OTHER: 1
clothier | ORGANIZATION 1
clothing | OTHER 3 OTHER: 3
cloud | GPE 1 OTHER 2 OTHER: 1
clouds | WEA:Chemical 1 OTHER 1
clout | OTHER 7 OTHER: 1
club | ORGANIZATION:Commercial 2 ORGANIZATION 19 GPE 1 OTHER 3 OTHER: 1
clubhouse | FACILITY 3 FACILITY:Subarea-Building 1 OTHER 1
clubs | ORGANIZATION:Commercial 1 ORGANIZATION 15 ORGANIZATION:Other 1 OTHER 1
clue | OTHER 3
clues | OTHER 6 OTHER: 1
cluster | OTHER 1
clusters | PERSON 1 WEA:Exploding 1
clutch | OTHER 1
clutches | OTHER 2
cnn.com | OTHER 1
co | PERSON: 1
coach | PERSON 26 PERSON: 7 OTHER 3
coaches | PERSON 3 PERSON: 3
coal | OTHER 4 OTHER: 1
coalition | PERSON 3 ORGANIZATION 14 ORGANIZATION:Other 2 OTHER 2
coast | LOCATION:Region-National 1 LOCATION 9 OTHER 3
coaster | OTHER 1 OTHER: 1
coastline | LOCATION 6
coat | OTHER 4
coating | OTHER 3
coats | OTHER 2
coattails | OTHER 5
coaxing | OTHER: 1
coca | OTHER 1
cocaine | OTHER 4
cockpit | OTHER 1
cocktail | OTHER 1
cocoa | OTHER 1 OTHER: 1
code | OTHER 8 OTHER: 9
codes | OTHER 5 OTHER: 2
coffee | OTHER 4 OTHER: 2
coffin | OTHER 4
coffin. | OTHER 1
coffins | OTHER 1
coils | OTHER 1
coin | OTHER 1
coincidence | OTHER: 2
coiner | PERSON 1
coins | OTHER 2 OTHER: 4
coke | ORGANIZATION 1 OTHER: 1
colas | OTHER 1
cold | OTHER 5 OTHER: 3
coldness | OTHER: 1
colds | OTHER 1
cole | OTHER 2
collaboration | OTHER 8
collaborators | PERSON 1
collapse | OTHER 27 OTHER: 3
collapses | OTHER 1
collars | OTHER: 1
colleague | PERSON 4 PERSON: 2
colleagues | PERSON 14 PERSON: 3
collection | PERSON 2 OTHER 14 OTHER: 2
collections | OTHER 1 OTHER: 1
collectively | OTHER: 1
collectors | PERSON 2
college | ORGANIZATION 12 ORGANIZATION:Educational 2 OTHER 2
colleges | ORGANIZATION 6 ORGANIZATION:Educational 1
collided | OTHER 3
collision | OTHER 27
collisions | OTHER 2
collusion | OTHER 2
colon | OTHER 1
colonel | PERSON 1 PERSON: 1
colonia | GPE:Population-Center 1
colonias | GPE:Population-Center 1
colonies | GPE 8
colonization | OTHER 2 OTHER: 1
colony | GPE 1 LOCATION 1
color | OTHER 4 OTHER: 1
colors | OTHER 5 OTHER: 3
colossus | GPE 1
colour | OTHER 1
column | OTHER 3 OTHER: 1
columnist | PERSON 5 PERSON: 1
columnists | PERSON 1
coma | OTHER 1 OTHER: 1
combatants | PERSON 2
combats | OTHER 1
combination | OTHER 11 OTHER: 1
combinations | OTHER 2 OTHER: 2
combine | OTHER 1 OTHER: 1
combined | OTHER 6
comeback | OTHER 3 OTHER: 1
comebacks | OTHER: 1
comedian | PERSON: 2
comedy | OTHER 5 OTHER: 3
comet | OTHER 3
comets | OTHER 1
comfort | OTHER 4
coming | OTHER 1 OTHER: 1
command | ORGANIZATION 2 OTHER 5 OTHER: 1
commander | PERSON 27 PERSON: 2 OTHER 2
commanders | PERSON 12 PERSON: 1
commandments | OTHER 1
commaun | OTHER 1
comment | OTHER 22 OTHER: 9
commentary | OTHER 2 OTHER: 1
commentator | PERSON: 1
commentators | PERSON 2 PERSON: 1
comments | OTHER 26 OTHER: 7
commerce | ORGANIZATION 1 OTHER 9
commercial | OTHER 10 OTHER: 2
commercials | OTHER 7 OTHER: 6
commission | ORGANIZATION:Government 6 ORGANIZATION 49 ORGANIZATION:Other 2 OTHER 3
commissioner | PERSON 14 PERSON: 1 OTHER 2
commissioners | PERSON 2
commissions | OTHER 2 OTHER: 2
commitment | OTHER 24 OTHER: 5
commitments | OTHER 12 OTHER: 1
committed | OTHER 1
committee | PERSON 2 ORGANIZATION:Government 7 ORGANIZATION 33 ORGANIZATION:Other 1 OTHER 5
committees | ORGANIZATION:Commercial 1 ORGANIZATION 4
commodities | OTHER 4 OTHER: 1
common | OTHER 1
commoners | PERSON 1
commonplaces | OTHER 1
commonwealth | GPE 1
communication | OTHER 6 OTHER: 1
communications | OTHER 13 OTHER: 4
communique | OTHER 7 OTHER: 3
communism | ORGANIZATION 1 OTHER 4 OTHER: 1
communists | PERSON 1
communities | PERSON 11 GPE 19 GPE:Population-Center 1 LOCATION:Region-Local 1 LOCATION 3 OTHER 1
community | ORGANIZATION 3 PERSON 25 PERSON: 6 GPE:Nation 2 GPE 14 GPE:Other 2 GPE:Population-Center 3 LOCATION 3 OTHER 3
commuter | PERSON 1 PERSON: 1
commuters | PERSON 1
companies | ORGANIZATION:Commercial 73 ORGANIZATION 181 OTHER 4 OTHER: 2
companion | PERSON 2 OTHER 1
companions | OTHER 1
companionship | OTHER 1
company | ORGANIZATION:Government 1 ORGANIZATION:Commercial 86 ORGANIZATION 230 FACILITY 1 OTHER 16 OTHER: 1
comparison | OTHER 4 OTHER: 2
comparisons | OTHER 1
compartment | OTHER 50
compartments | OTHER 16
compass | OTHER 1
compassion | OTHER 2 OTHER: 1
compatibility | OTHER 1
compatible | OTHER: 1
compatriots | PERSON 1
compendium | OTHER 1
compensation | OTHER 18 OTHER: 1
competence | OTHER 2
competency | OTHER 1
competition | PERSON 1 ORGANIZATION:Commercial 1 ORGANIZATION 1 OTHER 38 OTHER: 15
competitions | OTHER 1 OTHER: 1
competitive | OTHER 1
competitive. . . | OTHER 1
competitiveness | OTHER 1 OTHER: 3
competitor | ORGANIZATION:Commercial 2 PERSON 2
competitors | PERSON 4 PERSON: 1 ORGANIZATION:Commercial 5 ORGANIZATION 9 GPE 1 OTHER 1
compilation | OTHER: 1
complaint | OTHER 13 OTHER: 2
complaints | OTHER 10 OTHER: 4
complement | OTHER: 1
completed | OTHER 1
completed. | OTHER: 1
completion | OTHER 6
complex | FACILITY 5 OTHER 1 OTHER: 1
complexes | FACILITY:Building 1 FACILITY 1 OTHER 1
complexion | OTHER 1
complexity | OTHER 1
compliance | OTHER 15
complication | OTHER 1
complications | OTHER: 11
complicity | OTHER 3
complied | OTHER 1
compliment | OTHER 1
component | FACILITY 1 OTHER 3 OTHER: 1
components | FACILITY 3 OTHER 5 OTHER: 1
composer | PERSON 2
composers | PERSON 2
composite | OTHER 2
composition | OTHER 1
compound | FACILITY 3
compounds | FACILITY 4
compressors | OTHER: 1
compromise | OTHER 13 OTHER: 5
compromises | OTHER: 1
computer | OTHER 14 OTHER: 2
computers | OTHER 25 OTHER: 10
comrades | PERSON 1
coms | OTHER: 2
concentrations | OTHER 1
concept | OTHER 4 OTHER: 1
concepts | OTHER 1
concern | ORGANIZATION 2 OTHER 48 OTHER: 11
concerns | OTHER 40 OTHER: 7
concert | OTHER 6 OTHER: 2
concertgoers | PERSON 1
concerts | OTHER 4
concession | OTHER 4
concessions | OTHER 9 OTHER: 1
conciliation | OTHER 1
conclave | OTHER: 1
conclusion | OTHER 11 OTHER: 6
conclusions | OTHER 9
concrete | OTHER 2
concubines | PERSON 1
concussion | OTHER 1
condemnation | OTHER 3
condemnations | OTHER 1
condition | OTHER 54 OTHER: 4
conditional | OTHER 1
conditions | OTHER 42 OTHER: 16
condominiums | FACILITY 1
condoms | OTHER: 1
conduct | OTHER 14 OTHER: 1
conductor | PERSON 1
conduit | OTHER 2
confederates | PERSON 1
confederations | OTHER 1
conferees | PERSON 1
conference | PERSON 1 OTHER 56 OTHER: 15
conferences | OTHER 3 OTHER: 2
confession | OTHER 3
confessional | OTHER: 1
confidence | OTHER 25 OTHER: 10
confidences | OTHER 1
confidentiality | OTHER 4
configuration | OTHER 1
configurations | OTHER 1
confinement | OTHER 3
confirmation | OTHER 8 OTHER: 1
confirmations | OTHER 1
confirmed | OTHER 1
confiscation | OTHER 2
conflagration | OTHER: 1
conflict | OTHER 41 OTHER: 15
conflicts | OTHER 5
confluct | OTHER 1
confluence | OTHER 2
conformist | OTHER: 1
conformity | OTHER 1
confrontation | OTHER 16 OTHER: 5
confrontations | OTHER 4 OTHER: 2
confusingly | OTHER 1
confusion | OTHER 5 OTHER: 3
congestion | OTHER 3
conglomerates | ORGANIZATION:Commercial 1 ORGANIZATION 6
congratulations | OTHER 2 OTHER: 1
congress | ORGANIZATION:Government 1 ORGANIZATION 4 OTHER 2
congresses | ORGANIZATION:Other 1
congressman | PERSON 5 PERSON: 1 OTHER 1
congressmen | PERSON 1
congresswoman | PERSON 1
conjunction | OTHER 1
connected | OTHER 1
connection | OTHER 16 OTHER: 1
connections | OTHER 17 OTHER: 3
connoisseur | PERSON 1
connotation | OTHER 1
conscience | OTHER 6 OTHER: 2
consciousness | OTHER 1 OTHER: 1
consensus | OTHER 8 OTHER: 2
consent | OTHER 5 OTHER: 3
consequence | OTHER 1
consequences | OTHER 17 OTHER: 2
conservation | OTHER 2
conservationists | PERSON 1
conservatism | OTHER 3
conservative | PERSON 3 OTHER 2
conservatives | PERSON 14 PERSON: 2 ORGANIZATION 1 OTHER: 1
consideration | OTHER 11 OTHER: 4
consir | OTHER 1
consistency | OTHER 1
consistent | OTHER: 1
consolation | OTHER 1
consoles | OTHER: 1
consoles. 1 | OTHER: 1
consolidation | OTHER 5 OTHER: 1
consolidations | OTHER 1
consolidator | ORGANIZATION 1
consortia | ORGANIZATION:Commercial 1 ORGANIZATION 1 OTHER: 1
consortium | ORGANIZATION:Commercial 2 ORGANIZATION 7
consortiums | ORGANIZATION:Other 1
conspiracy | OTHER 15 OTHER: 2
conspirators | OTHER 1
constituencies | PERSON 1 PERSON: 1
constituency | OTHER 1
constitution | OTHER 18 OTHER: 3
constitutionality | OTHER 1
constitutionalle | OTHER: 1
constraints | OTHER 2
construction | OTHER 9 OTHER: 14
constructor | ORGANIZATION:Commercial 1
constructors | ORGANIZATION:Commercial 2
consul | PERSON 1
consulate | ORGANIZATION 1 FACILITY:Building 1
consultant | ORGANIZATION:Commercial 1 ORGANIZATION 1 PERSON 6 PERSON: 2
consultants | ORGANIZATION 1 PERSON 1 PERSON: 1
consultation | OTHER 3 OTHER: 1
consultations | OTHER 5
consumer | PERSON 4 PERSON: 2 OTHER 1
consumers | PERSON 23 PERSON: 10 OTHER 1 OTHER: 1
consumption | OTHER 5 OTHER: 1
contact | PERSON 2 OTHER 13 OTHER: 4
contacts | PERSON 1 OTHER 9 OTHER: 2
container | OTHER: 1
containers | OTHER 1 OTHER: 2
containment | OTHER 1
contaminants | OTHER 1
contemporaries | PERSON 1
contempt | OTHER 3
contender | PERSON 5 PERSON: 1 GPE:Nation 1 OTHER 1 OTHER: 1
contenders | PERSON 2 ORGANIZATION 1
content | OTHER 7 OTHER: 5
contention | OTHER 2
contents | OTHER 2 OTHER: 2
contest | OTHER 9 OTHER: 7
contest.ay | OTHER: 1
contestants | PERSON 4
contests | OTHER 6 OTHER: 1
context | OTHER 7 OTHER: 1
continent | GPE 7
continents | GPE 2 LOCATION 3
contingencies | OTHER: 1
contingent | PERSON 1 OTHER 1
contingents | PERSON 1
continuation | OTHER 2 OTHER: 1
contortions | OTHER 1
contour | OTHER 1
contraband | OTHER: 1
contract | OTHER 37 OTHER: 17
contraction | OTHER: 1
contractor | PERSON 1 ORGANIZATION 4
contracts | OTHER 9 OTHER: 2
contradiction | OTHER 1
contrary | OTHER 2 OTHER: 1
contras | PERSON 1
contrast | OTHER 8 OTHER: 6
contribution | OTHER 6 OTHER: 1
contributions | OTHER 14 OTHER: 3
contributor | PERSON 1
contributors | PERSON 3 PERSON: 2 GPE:Nation 1 GPE 1
control | OTHER 64 OTHER: 22
controlled | OTHER 1
controller | PERSON 2 PERSON: 1 OTHER: 2
controllers | PERSON 3 PERSON: 1
controls | OTHER 8
controversial | OTHER 1 OTHER: 1
controversies | OTHER 1
controversy | OTHER 15 OTHER: 6
convenience | OTHER 4 OTHER: 1
conveniences | OTHER 1
convention | PERSON 1 ORGANIZATION 1 OTHER 9 OTHER: 3
conventions | OTHER 1 OTHER: 3
convergence | OTHER 2
conversation | OTHER 20 OTHER: 3
conversations | OTHER 23 OTHER: 1
converse | OTHER 1
conversion | OTHER 6
converters | OTHER 2
convertibles | OTHER 2
converts | OTHER 1
convict | PERSON 2
convicted | OTHER 1 OTHER: 1
conviction | OTHER 17 OTHER: 2
convictions | OTHER 16
convicts | PERSON 1
convoy | PERSON 4
cook | PERSON 1 PERSON: 1 OTHER 1
cookbook | OTHER 1
cookbooks | OTHER: 1
cookie | OTHER 1
cookies | OTHER 2 OTHER: 2
cooking | OTHER 1
cooks | PERSON 1
cool | OTHER: 1
cooler | OTHER 1
cooperation | OTHER 32 OTHER: 5
coordination | OTHER 2
coordinator | PERSON 5 PERSON: 5 OTHER 1
coordinators | PERSON: 1
copayments | OTHER 1
copies | OTHER 6 OTHER: 3
coppenbargers | PERSON: 1
copper | OTHER 1
cops | PERSON 1
copy | OTHER 4 OTHER: 5
copycat | OTHER 1
copyright | OTHER 1
cord | OTHER 3
cordite | OTHER 1
cords | OTHER: 1
core | ORGANIZATION 2 PERSON 3 OTHER 4 OTHER: 1
cores | LOCATION 1
corks | OTHER 1
corn | OTHER: 2
corner | PERSON 1 GPE 2 FACILITY 1 LOCATION:Region-Local 1 LOCATION 1 OTHER 8 OTHER: 1
corners | FACILITY 1 LOCATION 1 OTHER 4
cornerstone | OTHER 3
corollary | OTHER 1
coronation | OTHER: 1
corporation | ORGANIZATION:Commercial 3 ORGANIZATION 11 OTHER 2
corporations | ORGANIZATION:Commercial 12 ORGANIZATION 8 OTHER: 1
corps | PERSON 3
corpse | PERSON 2
corpses | PERSON 1
correct | OTHER 3
corrections | OTHER 1
correspondent | PERSON 12 PERSON: 3 OTHER 1
correspondents | PERSON 4 PERSON: 1
corridor | FACILITY:Subarea-Building 1 LOCATION 4 OTHER 1
corridors | FACILITY 1
corrosive | OTHER 1
corruption | OTHER 34
corvette | OTHER 2
corzine | PERSON 1
cosmetics | OTHER: 1
cosmonauts | OTHER 1
cost | OTHER 27 OTHER: 8
costs | OTHER 42 OTHER: 7
costume | OTHER 1 OTHER: 1
costumed | OTHER 1
costumes | OTHER 2 OTHER: 3
cotton | OTHER 1
couch | OTHER 1
council | ORGANIZATION:Government 2 ORGANIZATION 21 OTHER 11
councillors | PERSON 1
councilman | PERSON 1
councils | ORGANIZATION:Government 1 GPE 2
counsel | PERSON 38 PERSON: 4 OTHER 4
counseling | OTHER 1
counselor | PERSON 3 PERSON: 1
counselors | PERSON 1
count | OTHER 21 OTHER: 11
countdown | OTHER 3
counter | FACILITY:Subarea-Building 1 OTHER 2
counterbid | OTHER: 2
counteroffensive | OTHER 1
counterpart | PERSON 5 PERSON: 1
counterparts | ORGANIZATION 1 PERSON 4 PERSON: 1 FACILITY 1 OTHER 1
counterproposal | OTHER 1
counters | PERSON 1 OTHER 1 OTHER: 1
counterview | OTHER: 1
counties | GPE:State-or-Province 1 GPE:County-or-District 34 GPE 24 OTHER 1
countries | ORGANIZATION 1 GPE:Continent 1 GPE:Nation 43 GPE 159 GPE:Other 5
country | GPE:Nation 78 GPE 293 GPE:Other 1 LOCATION 1 OTHER 3 OTHER: 2
countrymen | PERSON 2
countryside | GPE 1 LOCATION:Land-Region-Natural 1 LOCATION 5
counts | OTHER 18 OTHER: 4
county | GPE:County-or-District 3 GPE 8
coup | OTHER 5 OTHER: 6
coupe | OTHER 2
coupes | OTHER 2
couple | PERSON 4 PERSON: 4 OTHER 25 OTHER: 8
couples | PERSON 7
courage | OTHER 7 OTHER: 2
couriers | PERSON 1
course | FACILITY:Bounded-Area 1 FACILITY 9 OTHER 74 OTHER: 29
courses | FACILITY 1 OTHER 1
court | PERSON 4 ORGANIZATION:Government 85 ORGANIZATION 133 FACILITY:Building 2 FACILITY 4 OTHER 20 OTHER: 3
courtesies | OTHER 1
courtesy | OTHER 1 OTHER: 1
courthouse | FACILITY 1
courthouses | FACILITY 1
courtroom | FACILITY 12 FACILITY:Subarea-Building 3
courtrooms | FACILITY 1
courts | ORGANIZATION:Government 16 ORGANIZATION 24 FACILITY 1 OTHER 2 OTHER: 1
courtship | OTHER: 1
cousin | PERSON 1
cousins | PERSON 2
cover | OTHER 8 OTHER: 2
cover-up | OTHER 2
coverage | OTHER 13 OTHER: 3
coverup | OTHER 1
cow | OTHER 1
coward | PERSON 1
cowboy | PERSON 4 OTHER 3
cowboys | PERSON 2
coworker | PERSON 1
crabs | OTHER: 1
crack | OTHER 1
crackdown | OTHER 25
crackdowns | OTHER: 1
crackling | OTHER: 1
cracks | OTHER 4
cradle | LOCATION 1 OTHER 4
craft | OTHER 5
crafts | OTHER 5
craftsman | PERSON: 1
craftsmanship | OTHER 1
crane | OTHER 3
cranes | OTHER 1
cranny | OTHER 1
crap | OTHER 1
crash | OTHER 26 OTHER: 3
crashes | OTHER 4
crater | LOCATION:Land-Region-Natural 1
craters | OTHER 2
crates | OTHER 2
crawlspace | OTHER 1
craze | OTHER: 1
craziness | OTHER 1
cream | OTHER 2 OTHER: 3
creamers | OTHER: 1
crease | OTHER 1
creation | OTHER 13 OTHER: 1
creativity | OTHER 1
creator | ORGANIZATION 1 PERSON 1
creature | PERSON 1 PERSON: 1
creche | FACILITY 1
credential | OTHER: 1
credentials | OTHER: 3
credibility | OTHER 7 OTHER: 1
credit | OTHER 6 OTHER: 6
creditor | ORGANIZATION 1 OTHER 2
creditors | PERSON 1 ORGANIZATION 3
credits | OTHER 2
credo | OTHER 1
creeds | OTHER 1
creek | LOCATION 1
creeks | LOCATION 1
creep | PERSON 1
crew | ORGANIZATION 2 PERSON 66 OTHER 4 OTHER: 2
crewman | PERSON 1
crewmembers | PERSON 2
crewmen | PERSON 4
crews | PERSON 8 PERSON: 1
cricket | OTHER 4
cricketers | PERSON 2
crickets | OTHER 11
cried | OTHER 2
cries | OTHER: 1
crime | ORGANIZATION 17 OTHER 60 OTHER: 5
crimes | OTHER 45 OTHER: 5
criminal | PERSON 4 OTHER 4
criminals | ORGANIZATION 1 PERSON 28 PERSON: 1
crippled | OTHER 3
crises | OTHER 5
crisis | OTHER 133 OTHER: 22
crisp | OTHER 1
criteria | OTHER 3 OTHER: 5
criterion | OTHER 2
critic | PERSON 6
critical | OTHER 1
criticism | OTHER 21 OTHER: 12
criticisms | OTHER 7 OTHER: 1
critics | PERSON 30 PERSON: 7 OTHER 3
critique | OTHER 1 OTHER: 1
critiques | OTHER: 1
croats | PERSON 1
cronies | PERSON 2
crook | PERSON 1
crooks | PERSON 3
crop | OTHER: 1
crops | OTHER 1 OTHER: 1
cross | OTHER 6 OTHER: 1
cross-examination | OTHER 1
cross-section | OTHER 1
crossfire | OTHER: 1
crossing | OTHER 1
crossings | FACILITY 1
crossover | OTHER 1
crosswalks | FACILITY 1
crow | OTHER: 1
crowd | PERSON 22 PERSON: 4 OTHER: 3
crowds | PERSON 6 PERSON: 4
crown | OTHER 3 OTHER: 2
crucial | OTHER 1
crucible | OTHER 1
crude | OTHER 2
crueler | OTHER 1
cruelty | OTHER 1
cruise | OTHER: 1
crunch | OTHER 2
crusade | OTHER 2
crusader | PERSON 2
crush | PERSON 1 OTHER 1 OTHER: 1
crust | OTHER 1
crusts | OTHER: 1
crutches | OTHER 3
cry | OTHER 4
crying | OTHER 1
cue | OTHER 1
cues | OTHER: 1
cuff | OTHER 1
cuisinart | OTHER 1
culmination | OTHER 1
culprit | OTHER: 1
culprits | PERSON: 1
cultural affairs. .. | OTHER 1
culturally | OTHER 1
culture | ORGANIZATION 1 PERSON 1 GPE 2 OTHER 19
cultures | OTHER 5
cup | OTHER 10 OTHER: 2
cups | OTHER 1 OTHER: 2
curator | PERSON 1 PERSON: 1
cure | OTHER 2 OTHER: 1
curfew | OTHER 1 OTHER: 1
curious | PERSON 1
currencies | OTHER 22
currency | OTHER 27 OTHER: 5
current | OTHER 3 OTHER: 1
currents | OTHER: 3
curriculum | OTHER 1
curtain | OTHER 1
curve | OTHER 1 OTHER: 3
curves | OTHER: 1
cushion | OTHER 1
custardy | OTHER: 1
custodian | PERSON: 1
custody | OTHER 7 OTHER: 2
custom | OTHER 1 OTHER: 1
customer | PERSON 6 PERSON: 3
customers | ORGANIZATION 6 ORGANIZATION:Other 1 PERSON 56 PERSON: 8 OTHER 1
customs | OTHER 5
cut | OTHER 12 OTHER: 5
cutaways | OTHER 1
cutback | OTHER: 1
cutbacks | OTHER 1
cutlasses | OTHER 1
cutoff | OTHER 1
cutoffs | OTHER: 1
cutouts | OTHER 1
cuts | OTHER 15 OTHER: 2
