! | OTHER 9 OTHER: 17
!! | OTHER: 3
!. | OTHER: 1
$ | OTHER: 2
confirmed | OTHER 1
confiscation | OTHER 2
conflagration | OTHER 1
conflict | OTHER 56 OTHER: 29
conflicts | OTHER 5 OTHER: 2
confluct | OTHER 1
confluence | OTHER 2 OTHER: 1
conformist | OTHER 1
conformity | OTHER 1 OTHER: 1
confrontation | OTHER 21 OTHER: 7
confrontations | OTHER 6 OTHER: 1
confusingly | OTHER 1
confusion | OTHER 8 OTHER: 2
congestion | OTHER 4
conglomerate | ORGANIZATION:Commercial 4 OTHER 1
conglomerates | ORGANIZATION:Commercial 2 ORGANIZATION 7
congratulations | OTHER 3 OTHER: 2
congress | ORGANIZATION:Government 8 ORGANIZATION 13 OTHER 4
congresses | ORGANIZATION 1 OTHER 1
congressman | PERSON:Individual 4 PERSON 6 OTHER 1
congressmen | PERSON 1 PERSON:Group 1
congresswoman | PERSON:Individual 1 PERSON 1
conjunction | OTHER 1
connected | OTHER 1
connection | OTHER 17 OTHER: 6
connections | OTHER 20 OTHER: 2
connoisseur | PERSON 1
connotation | OTHER 1
conquerors | GPE:Nation 1
conscience | OTHER 8 OTHER: 2
consciousness | OTHER 2 OTHER: 3
conscripts | PERSON:Group 1
consensus | OTHER 11 OTHER: 3
consent | OTHER 8
consequence | OTHER 1 OTHER: 2
consequences | OTHER 19 OTHER: 1
conservation | OTHER 2 OTHER: 1
conservationists | PERSON 1
conservatism | OTHER 3
conservative | PERSON:Individual 1 PERSON 3 OTHER 2 OTHER: 1
conservatives | PERSON 16 PERSON:Group 4 ORGANIZATION 1 OTHER 1
conserve | PERSON 1 PERSON:Group 1
consideration | OTHER 15 OTHER: 6
considerations | OTHER: 2
consir | OTHER 1
consistency | OTHER 1
consistent | OTHER 1
consolation | OTHER 1
consoles | OTHER 1
consoles. 1 | OTHER 1
consolidation | OTHER 6 OTHER: 1
consolidations | OTHER 1
consolidator | ORGANIZATION 1
consonants | OTHER: 1
consortia | ORGANIZATION 2 OTHER 1
consortium | ORGANIZATION:Commercial 1 ORGANIZATION 9
consortiums | ORGANIZATION 1
conspiracy | OTHER 18 OTHER: 9
conspirator | PERSON:Individual 3
conspirators | OTHER 1
constellation | VEH:Water 2 OTHER: 2
constituencies | PERSON 2
constituency | OTHER 1
constituent | PERSON:Individual 1
constituents | PERSON:Group 1
constitution | OTHER 21 OTHER: 9
constitutionality | OTHER 1
constitutionalle | OTHER 1
constraints | OTHER 2
construction | OTHER 31 OTHER: 5
constructor | ORGANIZATION 1
constructors | ORGANIZATION 2
consul | PERSON 1
consulate | ORGANIZATION 1 FACILITY 1
consultant | ORGANIZATION 2 PERSON:Individual 2 PERSON 8
consultants | ORGANIZATION 1 PERSON 2
consultation | OTHER 4 OTHER: 1
consultations | OTHER 5 OTHER: 1
consumer | ORGANIZATION:Media 1 PERSON:Indeterminate 2 PERSON:Individual 2 PERSON 18 PERSON:Group 1 OTHER 7 OTHER: 1
consumers | PERSON 33 PERSON:Group 5 GPE:Nation 1 OTHER 2
consumption | OTHER 6 OTHER: 4
contact | PERSON 2 OTHER 18 OTHER: 5
contacts | PERSON 1 OTHER 11 OTHER: 1
container | OTHER 8 OTHER: 3
containers | OTHER 3 OTHER: 1
containment | OTHER 1
contaminants | OTHER 1
contemporaries | PERSON 1 PERSON:Group 2
contempt | OTHER 3 OTHER: 2
contender | PERSON 6 GPE:Nation 1 GPE 1 OTHER 2
contenders | PERSON 2 ORGANIZATION 1
content | OTHER 12 OTHER: 2
contention | OTHER 2 OTHER: 2
contents | OTHER 4 OTHER: 1
conterproductive | OTHER: 1
contest | OTHER 23 OTHER: 5
contest.ay | OTHER 1
contestants | PERSON 4 PERSON:Group 1
contests | OTHER 7 OTHER: 1
context | OTHER 8
continent | GPE:Continent 2 GPE 7
continentals | PERSON:Group 1
continents | GPE 2 LOCATION 3
contingencies | OTHER 1
contingent | PERSON 1 OTHER 1
contingents | PERSON 1
continuation | OTHER 3
contortionist | PERSON:Individual 1
contortions | OTHER 1
contour | OTHER 1
contraband | OTHER 1
contraception | OTHER: 1
contract | OTHER 61 OTHER: 10
contraction | OTHER 1
contractor | PERSON 1 ORGANIZATION:Commercial 1 ORGANIZATION 4
contractors | ORGANIZATION:Commercial 1
contracts | OTHER 11 OTHER: 9
contradiction | OTHER 1
contrarian | OTHER: 1
contrary | OTHER 3 OTHER: 1
contras | PERSON 1
contrast | OTHER 14 OTHER: 1
contribution | OTHER 7 OTHER: 2
contributions | OTHER 17 OTHER: 9
contributor | PERSON:Individual 1 PERSON 1
contributors | ORGANIZATION:Commercial 1 PERSON 5 PERSON:Group 3 GPE 2
control | OTHER 89 OTHER: 73
controlled | OTHER 1
controller | PERSON 3 OTHER 2
controllers | PERSON 4
controls | OTHER 8 OTHER: 2
controversial | OTHER 2
controversies | OTHER 1
controversy | OTHER 21 OTHER: 11
convenience | OTHER 5 OTHER: 2
conveniences | OTHER 1
convention | PERSON 1 ORGANIZATION 1 OTHER 13 OTHER: 2
conventions | OTHER 4 OTHER: 3
convergence | OTHER 2
conversation | OTHER 23 OTHER: 7
conversations | OTHER 24 OTHER: 1
converse | OTHER 1
conversion | OTHER 6 OTHER: 2
converters | OTHER 2
convertibles | OTHER 2
converts | PERSON:Group 1 OTHER 1
conveyor | OTHER 1
convict | PERSON:Individual 2 PERSON 2
convicted | PERSON:Group 1 OTHER 2
conviction | OTHER 19 OTHER: 10
convictions | OTHER 16 OTHER: 5
convicts | PERSON 1 PERSON:Group 1
convoy | VEH:Underspecified 3 VEH:Land 7 PERSON 4 PERSON:Group 6 OTHER: 2
convoys | VEH:Land 1 PERSON:Group 2
cook | PERSON:Individual 2 PERSON 2 OTHER 1 OTHER: 1
cookbook | OTHER 1
cookbooks | OTHER 1
cookie | PERSON:Individual 1 OTHER 1
cookies | OTHER 6 OTHER: 8
cookin about. | OTHER: 1
cooking | OTHER 1 OTHER: 1
cooks | PERSON 1 PERSON:Group 1
cool | OTHER 1
cooler | OTHER 1 OTHER: 1
coop | FACILITY:Building-Grounds 1
cooper | PERSON:Individual 8
cooperation | OTHER 41 OTHER: 11
coordination | OTHER 2 OTHER: 3
coordinator | PERSON:Individual 4 PERSON 11 OTHER 1
coordinators | PERSON 1
coored | OTHER: 1
cop | PERSON:Individual 4 WEA:Shooting 1
cop-out | OTHER: 2
copayments | OTHER 1
copies | OTHER 9 OTHER: 1
coppenbargers | PERSON 1
copper | OTHER 1
cops | PERSON 1 PERSON:Group 5
copy | OTHER 9 OTHER: 3
copycat | OTHER 1
copyright | OTHER 3
cord | OTHER 3 OTHER: 2
cordite | OTHER 1
cords | OTHER 1
core | ORGANIZATION 2 PERSON 3 OTHER 10 OTHER: 6
cores | LOCATION 1
coreys | PERSON:Group 1
cork | OTHER: 6
corks | PERSON:Group 1 OTHER 1
corn | OTHER 3
corner | PERSON 1 GPE 2 FACILITY:Subarea-Facility 1 FACILITY 1 LOCATION:Region-General 1 LOCATION 2 OTHER 9 OTHER: 8
corners | FACILITY 1 LOCATION 1 LOCATION:Region-International 1 OTHER 4 OTHER: 1
cornerstone | OTHER 3 OTHER: 1
corollary | OTHER 1
coronation | OTHER 1
coroner | PERSON:Individual 3
corporal | PERSON:Individual 2
corporation | ORGANIZATION:Non-Governmental 2 ORGANIZATION:Commercial 4 ORGANIZATION 14 OTHER 2
corporations | ORGANIZATION:Commercial 3 ORGANIZATION 21 OTHER 1
corps | PERSON 3 PERSON:Group 1
corpse | PERSON:Individual 2 PERSON 2
corpses | PERSON 1
corpsmen | ORGANIZATION:Government 1
correct | OTHER 3
corrections | OTHER 1
correspondence | OTHER: 2
correspondent | PERSON:Indeterminate 1 PERSON:Individual 21 PERSON 27 OTHER 1 OTHER: 1
correspondents | PERSON 6 PERSON:Group 2
corridor | FACILITY 1 LOCATION 4 OTHER 1
corridors | FACILITY:Subarea-Facility 1 FACILITY 1
corrosion | OTHER: 1
corrosive | OTHER 1
corrupt | OTHER: 1
corruption | OTHER 34 OTHER: 12
corvette | OTHER 2
corzine | PERSON 1
cosmetic | OTHER: 1
cosmetics | OTHER 1
cosmonaut | PERSON:Individual 2
cosmonauts | OTHER 1
cost | OTHER 35 OTHER: 28
costs | OTHER 50 OTHER: 18
costume | OTHER 2
costumed | OTHER 1
costumes | OTHER 5
cosy | OTHER: 1
cot | OTHER: 2
cotton | OTHER 1
cou | OTHER: 1
couch | OTHER 1 OTHER: 3
cough | OTHER 1 OTHER: 1
council | PERSON:Group 2 ORGANIZATION:Government 3 ORGANIZATION:Non-Governmental 10 ORGANIZATION 23 OTHER 14 OTHER: 2
council. | OTHER: 1
councillors | PERSON 1
councilman | PERSON 1
councils | ORGANIZATION 1 GPE 2
counsel | PERSON:Individual 1 PERSON 43 OTHER 5 OTHER: 1
counseling | OTHER 1
counselor | PERSON:Individual 2 PERSON 4
counselors | PERSON 1
count | OTHER 36 OTHER: 8
countdown | OTHER 3
counter | PERSON 2 PERSON:Group 1 FACILITY 1 OTHER 4 OTHER: 2
counterbid | OTHER 2
counterintelligence | OTHER: 1
countermeasure | OTHER: 2
countermeasures | OTHER: 2
counteroffensive | OTHER 1
counterpart | PERSON:Individual 5 PERSON 6 OTHER 1
counterparts | ORGANIZATION 1 PERSON 5 FACILITY 1 OTHER 1
counterproposal | OTHER 1
counters | ORGANIZATION:Commercial 1 PERSON 1 OTHER 2 OTHER: 1
counterview | OTHER 1
counties | GPE:County-or-District 5 GPE 59 OTHER 1
countries | ORGANIZATION:Commercial 1 ORGANIZATION 1 GPE:GPE-Cluster 1 GPE:Nation 47 GPE 208
country | GPE:Special 1 GPE:Nation 185 GPE 376 LOCATION:Region-General 1 LOCATION 2 OTHER 7 OTHER: 3
country.. | GPE:Nation 1
countrymen | PERSON 2
countryside | GPE 1 LOCATION 6
counts | OTHER 21 OTHER: 6
county | GPE:County-or-District 3 GPE 18 OTHER 8 OTHER: 9
coup | OTHER 11 OTHER: 3
coup d'etat | OTHER: 1
coupe | OTHER 2
coupes | OTHER 2
couple | PERSON 8 PERSON:Group 11 OTHER 33 OTHER: 49
couples | PERSON 7 PERSON:Group 2
coupon | OTHER: 2
coupons | OTHER: 2
courage | OTHER 9 OTHER: 5
couriers | PERSON 1 PERSON:Group 2
course | FACILITY 10 OTHER 103 OTHER: 112
courses | FACILITY 1 OTHER 2
court | PERSON 2 ORGANIZATION:Government 69 ORGANIZATION:Non-Governmental 2 ORGANIZATION 250 FACILITY:Subarea-Facility 2 FACILITY:Building-Grounds 14 FACILITY 6 OTHER 36 OTHER: 11
courtesies | OTHER 1
courtesy | OTHER 2
courthouse | FACILITY:Building-Grounds 7 FACILITY 2 OTHER: 1
courthouses | FACILITY 1
courtroom | FACILITY:Subarea-Facility 3 FACILITY 15
courtrooms | FACILITY:Subarea-Facility 1 FACILITY 1
courts | ORGANIZATION:Government 4 ORGANIZATION 40 FACILITY 1 OTHER 3 OTHER: 1
courtship | OTHER 1
cousin | PERSON:Individual 3 PERSON 1
cousins | PERSON 2 PERSON:Group 4
cover | OTHER 11 OTHER: 6
cover-up | OTHER 2
coverage | OTHER 16 OTHER: 28
covering | OTHER: 1
coverup | OTHER 1
cow | OTHER 1
coward | PERSON 1
cowards | PERSON:Group 1 GPE:Nation 1
cowboy | PERSON 4 OTHER 4
cowboys | PERSON 2
cowered | OTHER: 1
coworker | PERSON 1
crabs | OTHER 1
crack | OTHER 1 OTHER: 2
crackdown | OTHER 25 OTHER: 2
crackdowns | OTHER 1
crackers | OTHER: 2
crackling | OTHER 1
cracks | OTHER 4 OTHER: 3
cradle | LOCATION 1 LOCATION:Region-International 1 OTHER 4
craft | OTHER 5 OTHER: 4
crafts | OTHER 5
craftsman | PERSON 1
craftsmanship | OTHER 1
crane | OTHER 3
cranes | OTHER 1 OTHER: 1
crank | OTHER: 1
cranny | OTHER 1
crap | OTHER 1 OTHER: 3
crash | FACILITY 1 OTHER 29 OTHER: 7
crashes | OTHER 4
crate | OTHER: 3
crater | LOCATION 1
craters | OTHER 2 OTHER: 1
crates | OTHER 2
crawlspace | OTHER 1
craze | OTHER 1
craziness | OTHER 1
crazy | OTHER: 2
cream | OTHER 5 OTHER: 1
creamers | OTHER 1
crease | OTHER 1
creation | OTHER 14 OTHER: 5
creativity | OTHER 1
creator | ORGANIZATION 1 PERSON:Individual 1 PERSON 2
creators | PERSON:Group 1
creature | PERSON 2
creche | FACILITY 1
credence | OTHER: 2
credential | OTHER 1
credentials | OTHER 3 OTHER: 1
credibility | OTHER 8 OTHER: 5
credible | OTHER: 1
credit | OTHER 15 OTHER: 14
creditor | ORGANIZATION 1 OTHER 3
creditors | PERSON 1 PERSON:Group 4 ORGANIZATION:Commercial 1 ORGANIZATION 3
credits | OTHER 2 OTHER: 5
credo | OTHER 1
creeds | OTHER 1
creek | LOCATION 1 OTHER: 2
creeks | LOCATION 1
creep | PERSON 1
crescendo | OTHER: 1
crescent | OTHER: 2
crew | ORGANIZATION 2 PERSON 67 PERSON:Group 26 OTHER 8 OTHER: 2
crewman | PERSON 1
crewmembers | PERSON 2
crewmen | PERSON 4
crews | PERSON 9 PERSON:Group 4
cricket | OTHER 4
cricketers | PERSON 2
crickets | OTHER 11
cried | OTHER 2
cries | OTHER 1 OTHER: 2
crime | ORGANIZATION 17 OTHER 66 OTHER: 15
crimes | OTHER 50 OTHER: 14
criminal | PERSON:Individual 7 PERSON 4 OTHER 4 OTHER: 1
criminals | ORGANIZATION 1 PERSON:Indeterminate 1 PERSON 29 PERSON:Group 4
crippled | OTHER 3
crises | OTHER 5 OTHER: 3
crisis | OTHER 156 OTHER: 30
crisp | OTHER 1
criteria | OTHER 8
criterion | OTHER 2
critic | ORGANIZATION:Media 1 PERSON:Individual 1 PERSON 6
critical | OTHER 1
critical. | OTHER: 1
criticism | OTHER 33 OTHER: 10
criticisms | OTHER 8
critics | PERSON 37 PERSON:Group 5 OTHER 3
critique | OTHER 2
critiques | OTHER 1
croats | PERSON 1
croissants | OTHER: 1
cronies | PERSON 2
crook | PERSON 1
crooks | PERSON 3 OTHER: 1
crop | OTHER 1
crops | OTHER 2
cross | OTHER 9 OTHER: 6
cross-examination | OTHER 1
cross-section | OTHER 1
crossfire | OTHER 1 OTHER: 2
crossing | FACILITY:Path 3 OTHER 1
crossings | FACILITY 1
crossover | OTHER 1
crossroads | OTHER: 1
crosstalk | OTHER: 5
crosswalks | FACILITY 1
crow | OTHER 1
crowd | PERSON 26 PERSON:Group 15 OTHER 3
crowds | PERSON 11 PERSON:Group 2
crowley | OTHER: 1
crown | OTHER 6 OTHER: 1
crowned | OTHER: 1
crucial | OTHER 1
crucible | OTHER 1
crude | OTHER 2
cruel | OTHER: 1
crueler | OTHER 1
cruelty | OTHER 1
cruise | VEH:Water 2 WEA:Projectile 2 OTHER 1 OTHER: 28
cruisecritic | OTHER: 1
cruises | OTHER: 4
crunch | OTHER 4
crusade | OTHER 2
crusader | PERSON 2
crusaders | PERSON:Group 2
crush | PERSON 1 OTHER 2 OTHER: 1
crust | OTHER 1
crusts | OTHER 1
crutches | OTHER 3
crux | OTHER: 1
cry | OTHER 4 OTHER: 5
crying | OTHER 1
cub | ORGANIZATION:Sports 1
cube | FACILITY:Subarea-Facility 1
cubs | ORGANIZATION:Sports 1 OTHER: 2
cue | OTHER 1 OTHER: 1
cues | OTHER 1
cuff | OTHER 1
cuisinart | OTHER 1
culmination | OTHER 1
culprit | OTHER 1
culprits | PERSON 1
cult | ORGANIZATION:Non-Governmental 2 OTHER: 1
cultural affairs. .. | OTHER 1
culturally | OTHER 1
culture | ORGANIZATION 1 PERSON 1 GPE 2 OTHER 20 OTHER: 7
cultures | OTHER 5
cup | OTHER 13 OTHER: 1
cups | OTHER 5 OTHER: 1
curator | PERSON 2
curators | PERSON:Group 1
cure | OTHER 3 OTHER: 1
curfew | OTHER 2
curious | PERSON 1
currencies | OTHER 22
currency | OTHER 34 OTHER: 1
current | OTHER 4 OTHER: 1
currents | PERSON:Group 1 OTHER 3
curriculum | OTHER 1
cursd | PERSON:Group 1
curse | OTHER: 1
curtain | OTHER 1
curtis | OTHER: 1
curve | OTHER 4 OTHER: 1
curves | OTHER 1
cushion | OTHER 1
custardy | OTHER 1
custodian | PERSON 1
custody | OTHER 9 OTHER: 9
custom | OTHER 2 OTHER: 2
customer | PERSON:Indeterminate 1 PERSON:Individual 4 PERSON 11 PERSON:Group 2 GPE:Nation 1
customers | ORGANIZATION 7 PERSON 66 PERSON:Group 5 GPE:Nation 1 OTHER 1
customs | ORGANIZATION 4 OTHER 5 OTHER: 1
cut | OTHER 21 OTHER: 8
cutaways | OTHER 1
cutback | OTHER 1
cutbacks | OTHER 1
cutest | OTHER: 1
cutlasses | OTHER 1
cutoff | OTHER 1
cutoffs | OTHER 1
cutouts | OTHER 1
cuts | OTHER 17 OTHER: 9
cutting | OTHER 1
cyber | OTHER 1
cyberspace | OTHER 4
cycle | ORGANIZATION 1 OTHER 4 OTHER: 3
cyclical | OTHER 1
cyclists | PERSON 1 OTHER 1
cyclones | OTHER 1
cylinder | OTHER 5
cynicism | OTHER 5
cynics | PERSON 1
czar | PERSON:Individual 1 PERSON 3
czarist | OTHER 1
d | OTHER 1
d.o.t. | ORGANIZATION 1
da | OTHER 1
dad | PERSON:Individual 14 PERSON 3 OTHER: 1
daddy | PERSON:Individual 1 PERSON 3
dads | PERSON:Group 2
dagger | WEA:Sharp 1 OTHER 1 OTHER: 1
daggers | WEA:Sharp 1
dailies | ORGANIZATION 1
daily | ORGANIZATION 1 ORGANIZATION:Media 3 OTHER 5 OTHER: 1
dal | OTHER 2
dale | PERSON 1 GPE 1 OTHER 1
dam | PERSON 1 FACILITY 2 OTHER: 1
damage | OTHER 39 OTHER: 13
damaged | OTHER 1
damages | OTHER 6 OTHER: 1
damnation | OTHER 1
damper | OTHER: 1
dams | FACILITY 1 OTHER 1
dance | OTHER 4 OTHER: 4
dancer | PERSON 5
dancers | PERSON 3 PERSON:Group 1
dances | OTHER 2
dancing | OTHER 4
dandruff | OTHER: 1
dandy | OTHER: 1
danes | GPE 1
danger | OTHER 30 OTHER: 8
dangerous | OTHER: 2
dangers | OTHER 3 OTHER: 3
daring | OTHER 1
dark | OTHER 3 OTHER: 2
darkness | OTHER 5 OTHER: 4
darling | PERSON 1
darn | OTHER: 2
dashes | OTHER 1
data | OTHER 45 OTHER: 11
database | OTHER 2
date | PERSON 1 OTHER 32 OTHER: 14
dateline | OTHER 1
dates | OTHER 6 OTHER: 1
daught | OTHER: 1
daughter | PERSON:Individual 28 PERSON 24 OTHER 3 OTHER: 1
daughters | PERSON 6 PERSON:Group 1
dawn | OTHER 5 OTHER: 6
day | OTHER 353 OTHER: 203
day. | OTHER 1 OTHER: 1
day...they | OTHER: 1
daybreak | OTHER: 1
daydream | OTHER: 1
daylight | OTHER 5 OTHER: 3
daylightsaving | OTHER: 1
days | OTHER 276 OTHER: 113
daytime | OTHER 1
db | PERSON:Group 1
dc | OTHER 1
deacons | PERSON:Group 1
dead | PERSON 2 PERSON:Group 1 OTHER 1
dead. | OTHER: 1
deadline | OTHER 32 OTHER: 5
deadlines | OTHER 2
deadlock | OTHER 5 OTHER: 2
deadlocked | OTHER 1
deadly | OTHER: 1
deal | OTHER 187 OTHER: 35
dealer | ORGANIZATION:Commercial 1 ORGANIZATION 1 PERSON:Individual 2 PERSON 7
dealers | PERSON 4 PERSON:Group 1
dealership | ORGANIZATION 5 FACILITY 3
dealerships | ORGANIZATION 1
dealing | OTHER 1
dealings | OTHER 5 OTHER: 1
dealmakers | PERSON:Group 1
deals | OTHER 35 OTHER: 6
dean | PERSON 4 OTHER: 1
dear | OTHER 1 OTHER: 2
dearth | OTHER 1
death | OTHER 90 OTHER: 86
deaths | OTHER 35 OTHER: 17
debacle | OTHER 2
debate | OTHER 60 OTHER: 10
debates | OTHER: 3
debris | OTHER 8 OTHER: 3
debt | OTHER 45 OTHER: 16
debt. | OTHER: 1
debtor | PERSON:Individual 1
debtors | ORGANIZATION 4
debts | OTHER 23 OTHER: 4
debut | OTHER 4 OTHER: 4
debuts | OTHER 1
dec. | OTHER 35
decade | OTHER 35 OTHER: 11
decades | OTHER 60 OTHER: 11
decay | OTHER 1 OTHER: 1
deceased | PERSON 1
december | OTHER 60 OTHER: 16
decency | OTHER 1
deception | OTHER 6 OTHER: 1
decimalization | OTHER 1
decision | OTHER 204 OTHER: 38
decisions | OTHER 47 OTHER: 12
deck | VEH:Subarea-Vehicle 11 OTHER 7 OTHER: 2
deck... | VEH:Subarea-Vehicle 1
decks | OTHER 1
declaration | OTHER 11 OTHER: 4
declarations | OTHER: 2
decline | OTHER 18 OTHER: 5
declines | OTHER 2 OTHER: 1
decommissioning | OTHER 1 OTHER: 1
decoration | OTHER 1
decorations | OTHER 3
decrease | OTHER 3
decreases | OTHER 1
decree | OTHER 4
decrees | OTHER 1 OTHER: 1
ded | OTHER: 1
dedication | OTHER 2 OTHER: 1
deductible | OTHER 1
deductibles | OTHER 3
deduction | OTHER 4
deductions | OTHER 7 OTHER: 1
deed | OTHER 1
deeds | OTHER 2
deep | PERSON:Individual 1 OTHER 1
deepened | OTHER 2
deer | OTHER 9 OTHER: 2
defamation | OTHER 1
default | OTHER: 1
defeat | OTHER 7 OTHER: 5
defeats | OTHER 2
defection | OTHER 1 OTHER: 1
defections | OTHER 1
defector | OTHER 1
defectors | ORGANIZATION 1
defects | OTHER 4
defendant | ORGANIZATION 2 PERSON:Individual 3 PERSON 1 OTHER 1
defendants | PERSON 13 PERSON:Group 5 OTHER 3
defender | PERSON:Individual 1 PERSON 4 OTHER: 1
defenders | PERSON:Individual 1 PERSON 2 PERSON:Group 4
defense | ORGANIZATION:Government 4 ORGANIZATION 5 PERSON 13 PERSON:Group 3 OTHER 36 OTHER: 62
defenses | PERSON:Group 2 OTHER 2 OTHER: 4
defensive | OTHER 2 OTHER: 1
defiance | OTHER 4
deficit | OTHER 19 OTHER: 6
deficits | OTHER 2 OTHER: 2
definition | OTHER 4 OTHER: 3
definitions | OTHER 2 OTHER: 1
deflation | OTHER 4
deformities | OTHER 1
degenerated | OTHER: 1
degeneration | OTHER 2
degradation | OTHER 3 OTHER: 1
degree | OTHER 11 OTHER: 7
degrees | OTHER 7 OTHER: 4
delay | PERSON:Individual 2 OTHER 18 OTHER: 6
delays | OTHER 22 OTHER: 1
delectables | OTHER 1
delegate | PERSON:Individual 3 PERSON 1 OTHER 1
delegates | PERSON 11 PERSON:Group 9 ORGANIZATION 1 OTHER: 2
delegation | ORGANIZATION:Government 1 ORGANIZATION 1 PERSON 27 PERSON:Group 4 OTHER 2
delegations | ORGANIZATION 1 PERSON 7 OTHER 2
deliberated | OTHER: 1
deliberation | OTHER 1
deliberations | OTHER 2
delight | OTHER: 3
delightful | OTHER 2
delinquency | OTHER: 1
delivered | OTHER: 1
deliveries | OTHER 1
delivery | OTHER 11 OTHER: 6
deliveryman | PERSON 1
dell | ORGANIZATION:Commercial 2
delta | ORGANIZATION:Commercial 1 ORGANIZATION 3 LOCATION 14 OTHER 7
deluge | OTHER 1
delusional | OTHER 1
delusions | OTHER 1
demand | OTHER 45 OTHER: 11
demands | OTHER 34 OTHER: 14
demarcation | OTHER 2
demeanor | OTHER 4 OTHER: 1
dementia | OTHER 1
demise | OTHER 5
democracies | GPE 2 OTHER: 2
democracy | GPE:Nation 1 GPE 7 OTHER 41 OTHER: 20
democracy. .. | OTHER 1
democrat | ORGANIZATION 1 PERSON 5 OTHER 1
democrates | ORGANIZATION:Non-Governmental 1
democratic | ORGANIZATION 1
democratic basis. .. | OTHER 1
democrats | ORGANIZATION:Non-Governmental 3 ORGANIZATION 21 PERSON 46 PERSON:Group 3
demographer | PERSON 1
demolition | OTHER 5
demon | OTHER 1
demonology | OTHER: 1
demonstration | OTHER 23 OTHER: 7
demonstrations | OTHER 23 OTHER: 4
demonstrators | PERSON 28 PERSON:Group 2 OTHER 2
demoralized | OTHER 1
demos | ORGANIZATION:Non-Governmental 1
den | LOCATION 1
denial | OTHER 9 OTHER: 1
denials | OTHER 2
denise | PERSON:Individual 1
denomination | ORGANIZATION:Religious 1
denominations | OTHER 1
denouement | OTHER 1
densitometers | OTHER 1
dent | OTHER 2
denuclearization | OTHER: 2
denunciation | OTHER 1
denunciations | OTHER 2
departed | OTHER 1
department | ORGANIZATION:Government 13 ORGANIZATION:Commercial 1 ORGANIZATION:Sports 1 ORGANIZATION 31 FACILITY:Building-Grounds 1 OTHER 11 OTHER: 7
departments | ORGANIZATION:Sports 1 ORGANIZATION 4
departure | OTHER 13 OTHER: 2
departures | OTHER 1 OTHER: 2
depended | OTHER 1
dependence | OTHER 3
dependency | OTHER 1
dependent | OTHER 1
dependents | PERSON 1 PERSON:Group 1
deployment | OTHER 12 OTHER: 16
deployments | OTHER 1 OTHER: 1
deponent | PERSON 1
deportation | OTHER 1
deposit | OTHER 1
deposition | OTHER 8 OTHER: 1
depositions | OTHER: 1
deposits | OTHER 13
depot | FACILITY:Building-Grounds 1 FACILITY 1 OTHER 1 OTHER: 1
depravity | OTHER: 2
depreciation | OTHER 1
depression | OTHER 10
deprivation | OTHER 1
depth | OTHER 16 OTHER: 1
depths | LOCATION 1 OTHER 2
deputies | PERSON 6 PERSON:Group 1
deputy | PERSON:Individual 5 PERSON 2 OTHER 5 OTHER: 10
deregulated | OTHER 1
deregulation | OTHER 3
derivatives | OTHER 1
derrick | PERSON:Individual 5
descendants | PERSON 2 GPE 1
descent | OTHER 2
description | OTHER 6 OTHER: 2
descriptions | OTHER 2 OTHER: 1
desert | LOCATION:Land-Region-Natural 12 LOCATION 1 OTHER: 1
desert. 12 | LOCATION:Land-Region-Natural 1
deserters | PERSON:Group 1
desies | ORGANIZATION:Religious 1
design | OTHER 14 OTHER: 10
designated | OTHER 1
designation | OTHER: 1
designed.. | OTHER: 1
designer | PERSON 7 OTHER 3
designers | PERSON 5
designs | OTHER 5 OTHER: 1
desirability | OTHER 1
desire | OTHER 21 OTHER: 6
desires | OTHER 2 OTHER: 1
desk | OTHER 15 OTHER: 1
desolation | OTHER 1
desperate | OTHER 1
desperation | OTHER 1 OTHER: 2
despicable | OTHER 2
despondency | OTHER 1
dessert | OTHER 1
desserts | OTHER 3
dest | OTHER 1
destination | GPE 3 LOCATION:Region-General 1 LOCATION 4 OTHER 2 OTHER: 2
destinations | LOCATION 1
destiny | OTHER 7 OTHER: 1
destroyer | VEH:Water 1 VEH 4 OTHER 18
destruction | OTHER 30 OTHER: 37
detail | PERSON 1 OTHER 3 OTHER: 1
details | OTHER 54 OTHER: 39
detained | OTHER 1 OTHER: 1
detainees | PERSON 3 PERSON:Group 2
detection | OTHER 4 OTHER: 1
detective | PERSON 4
detectives | PERSON 11 PERSON:Group 2
detectors | OTHER 1 OTHER: 1
detention | OTHER 6 OTHER: 1
detentions | OTHER 1
detergent | OTHER: 1
deterioration | OTHER 2 OTHER: 1
determination | OTHER 5 OTHER: 6
deterrent | OTHER 3 OTHER: 2
detonated | OTHER 1
detonation | OTHER: 2
detour | OTHER 1
detractors | PERSON 1
detriment | OTHER: 1
devaluation | OTHER 7
devastated | OTHER 1
devastation | OTHER 1
developer | PERSON 3 PERSON:Group 1
developers | ORGANIZATION 1 PERSON 1
development | OTHER 87 OTHER: 18
developments | FACILITY 1 OTHER 15 OTHER: 8
deviation | OTHER 1
device | WEA 1 OTHER 11 OTHER: 2
devices | WEA:Nuclear 1 OTHER 14 OTHER: 4
devil | OTHER: 1
devotion | OTHER 2
dhabas | ORGANIZATION 1
diabetes | OTHER 3
diabetics | PERSON 2
diagnoses | OTHER 1
diagnosis | OTHER 1 OTHER: 2
diagram | OTHER 1
diagrams | OTHER 1
dial | OTHER 3
dialect | OTHER 2
